■  조회 - 옵션,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
상품/지수옵션 종목 리스트,,,,,,,
GET /v3/market/closed/derivative/options/{marketcode}/lists,,,,,,,
,,,,,,,
응답 리스트,,,,,,,
NO,항목명,,,한글명,모드,길이,설명
2,isuKorNm,,,종목명,string,80, 
3,hisLists,,,과거리스트,Array,4, 
4,,trdDd,,"체결일자,거래일자,매매일자",string,8,YYYYMMDD
5,,trdPrc,,체결가격,number,11,
6,,cmpprevddTpCd,,전일대비부호,string,1, 
7,,cmpprevddPrc,,전일대비가격,number,11, 
8,,accTrdvol,,"누적체결수량,누적거래량",number,12,
9,,accTrdval,,누적거래대금,number,22,
10,,opnprc,,시가,number,11,
11,,hgprc,,고가,number,11,
12,,lwprc,,저가,number,11,
13,,opnintQty,,미결제약정수량,number,10, 
